step,epoch,loss,grad_norm,learning_rate
10,0.0492,2.5894,8.328532218933105,2.1428571428571427e-06
20,0.0984,2.4658,5.077628135681152,4.523809523809524e-06
30,0.1476,2.3168,4.3679327964782715,4.994729944855107e-06
40,0.1968,2.2422,4.088557720184326,4.973358420187776e-06
50,0.246,2.1746,4.241890907287598,4.935696697560387e-06
60,0.2952,2.1219,3.955137014389038,4.8819928271188924e-06
70,0.3444,2.1038,4.214867115020752,4.812600516871631e-06
80,0.3936,2.0113,3.5419750213623047,4.727976803074086e-06
90,0.4428,1.9859,4.561622142791748,4.628679040066262e-06
100,0.492,2.0074,4.036099910736084,4.515361229388408e-06
110,0.5412,1.9481,3.9617233276367188,4.388769712352511e-06
120,0.5904,1.9459,3.8934805393218994,4.249738254439447e-06
130,0.6396,1.9089,4.003355026245117,4.099182553897228e-06
140,0.6888,1.894,3.760310649871826,3.938094210708225e-06
150,0.738,1.9122,4.105079650878906,3.767534195647309e-06
160,0.7872,1.9112,3.7889676094055176,3.5886258624454786e-06
170,0.8364,1.8597,4.2103471755981445,3.402547549082694e-06
180,0.8856,1.834,4.275064945220947,3.210524816939794e-06
190,0.9348,1.8089,4.491928577423096,3.013822378924502e-06
200,0.984,1.8333,3.759645462036133,2.8137357697350403e-06
210,1.0295,1.6915,4.01516580581665,2.611582813123216e-06
220,1.0787,1.6265,3.8052902221679688,2.408694942355853e-06
230,1.1279,1.5978,3.760239601135254,2.206408431040334e-06
240,1.1771,1.5617,3.9435746669769287,2.0060555920703673e-06
250,1.2263,1.5979,4.876131057739258,1.808956002658071e-06
260,1.2755,1.6003,3.569793462753296,1.6164078132466521e-06
270,1.3247,1.5795,4.290984630584717,1.4296791975454916e-06
280,1.3739,1.5935,3.450040817260742,1.2500000000000007e-06
290,1.4231,1.6,4.373686790466309,1.0785536357082222e-06
300,1.4723,1.6172,3.831826686859131,9.16469296133492e-07
310,1.5215,1.5912,4.37360954284668,7.648145119484152e-07
320,1.5707,1.5599,4.088711261749268,6.245881219932517e-07
330,1.6199,1.5624,4.116456508636475,4.967136946570167e-07
340,1.6691,1.5975,4.402606964111328,3.8203344500984924e-07
350,1.7183,1.5968,3.9730021953582764,2.8130268775002106e-07
360,1.7675,1.6038,4.125720500946045,1.9518486249996444e-07
370,1.8167,1.5664,4.01476526260376,1.2424716421604393e-07
380,1.8659,1.6113,4.362505912780762,6.895680749135852e-08
390,1.9151,1.5929,4.292765140533447,2.967794935587104e-08
400,1.9643,1.5942,4.556135177612305,6.66929084112089e-09
