step,epoch,loss,grad_norm,learning_rate
10,0.0492,2.6013,9.767112731933594,1.0975609756097562e-06
20,0.0984,2.5208,6.040107250213623,2.317073170731708e-06
30,0.1476,2.3938,4.29623556137085,3.5365853658536588e-06
40,0.1968,2.3249,4.5506720542907715,4.75609756097561e-06
50,0.246,2.2385,4.183994293212891,4.998685537302135e-06
60,0.2952,2.1657,3.975346565246582,4.993347901496306e-06
70,0.3444,2.1328,4.190030097961426,4.983913701635315e-06
80,0.3936,2.0366,3.702754497528076,4.970398438084758e-06
90,0.4428,2.0057,4.567993640899658,4.9528243163871635e-06
100,0.492,2.0222,4.0467352867126465,4.931220210778332e-06
110,0.5412,1.9611,3.9955453872680664,4.905621616747054e-06
120,0.5904,1.9582,4.356165885925293,4.876070592716105e-06
130,0.6396,1.9163,4.021376609802246,4.842615690940373e-06
140,0.6888,1.8966,3.7805871963500977,4.80531187773563e-06
150,0.738,1.9137,4.145541667938232,4.764220443169021e-06
160,0.7872,1.9112,3.862098217010498,4.71940890035964e-06
170,0.8364,1.8558,4.2077765464782715,4.670950874554658e-06
180,0.8856,1.8258,4.3701019287109375,4.618925982163233e-06
190,0.9348,1.7971,4.061399936676025,4.563419699946956e-06
200,0.984,1.8227,3.7289702892303467,4.504523224581763e-06
210,1.0295,1.6597,4.245160102844238,4.442333322822028e-06
220,1.0787,1.5827,3.7587084770202637,4.376952172513046e-06
230,1.1279,1.5584,3.878506898880005,4.308487194713097e-06
240,1.1771,1.5153,4.010266304016113,4.237050877200933e-06
250,1.2263,1.5454,4.708586692810059,4.162760589658649e-06
260,1.2755,1.547,3.6389663219451904,4.085738390833608e-06
270,1.3247,1.5229,3.989955186843872,4.0061108279962345e-06
280,1.3739,1.5439,3.4904820919036865,3.924008729023186e-06
290,1.4231,1.5457,4.466835975646973,3.839566987447492e-06
300,1.4723,1.5582,4.049914360046387,3.752924340828837e-06
310,1.5215,1.5338,4.495223522186279,3.66422314280811e-06
320,1.5707,1.491,4.396229267120361,3.573609129220748e-06
330,1.6199,1.4898,4.157618045806885,3.481231178653143e-06
340,1.6691,1.5268,4.515941619873047,3.387241067835513e-06
350,1.7183,1.5104,4.050957202911377,3.2917932222731323e-06
360,1.7675,1.5083,4.1616716384887695,3.1950444625256365e-06
370,1.8167,1.4752,4.079168796539307,3.097153746551248e-06
380,1.8659,1.52,4.434718132019043,2.998281908539272e-06
390,1.9151,1.4975,4.376881122589111,2.898591394659948e-06
400,1.9643,1.4776,4.182310104370117,2.798245996165813e-06
410,2.0098,1.4576,4.240509033203125,2.697410580283107e-06
420,2.059,1.2555,4.752589225769043,2.5962508193353544e-06
430,2.1082,1.3134,4.385868072509766,2.494932918544167e-06
440,2.1574,1.2725,5.674948692321777,2.3936233429545054e-06
450,2.2066,1.2448,5.000138282775879,2.292488543933048e-06
460,2.2558,1.1916,4.189406394958496,2.1916946856890293e-06
470,2.305,1.2958,4.172662258148193,2.091407372266879e-06
480,2.3542,1.2131,4.300353050231934,1.9917913754592184e-06
490,2.4034,1.1822,4.260190963745117,1.8930103640872313e-06
500,2.4526,1.2173,4.619263648986816,1.795226635093226e-06
510,2.5018,1.2185,4.497199535369873,1.6986008468871783e-06
520,2.551,1.2674,4.374344348907471,1.6032917553853939e-06
530,2.6002,1.2128,4.573835372924805,1.509455953174948e-06
540,2.6494,1.2193,3.6235499382019043,1.4172476122324808e-06
550,2.6986,1.2546,4.612940311431885,1.3268182306200406e-06
560,2.7478,1.2426,4.890395164489746,1.2383163835741694e-06
570,2.797,1.163,4.009036064147949,1.1518874793971754e-06
580,2.8462,1.2237,4.090284824371338,1.067673520551679e-06
590,2.8954,1.2325,4.8326005935668945,9.85812870350935e-07
600,2.9446,1.1146,4.639046669006348,9.064400256282757e-07
610,2.9938,1.1915,4.77126932144165,8.296853957591638e-07
620,3.0394,1.0543,4.279766082763672,7.556750883989325e-07
630,3.0886,1.0609,4.545190811157227,6.845307022882405e-07
640,3.1378,1.0827,4.900959014892578,6.16369127466657e-07
650,3.187,1.0421,5.060937404632568,5.513023532226363e-07
660,3.2362,1.1532,4.4124250411987305,4.894372840954112e-07
670,3.2854,1.0693,4.490878582000732,4.308755642311119e-07
680,3.3346,1.079,4.689406394958496,3.7571341038170534e-07
690,3.3838,1.1003,5.489741802215576,3.2404145382112254e-07
700,3.433,1.0723,3.8261594772338867,2.7594459143831356e-07
710,3.4822,1.0727,4.304752349853516,2.3150184625188034e-07
720,3.5314,1.0341,4.244454383850098,1.9078623757546766e-07
730,3.5806,1.121,4.18678617477417,1.5386466104722052e-07
740,3.6298,1.0394,4.353783130645752,1.207977787204259e-07
750,3.679,1.0917,3.8993475437164307,9.163991939592082e-08
760,3.7282,1.1358,4.365559101104736,6.643898936001369e-08
770,3.7774,1.0718,4.189378261566162,4.5236393674580326e-08
780,3.8266,1.0679,4.774379730224609,2.8066968148658946e-08
790,3.8758,1.025,5.080169200897217,1.4958922103305574e-08
800,3.925,1.1271,5.123351097106934,5.933792023753438e-09
810,3.9742,1.0691,4.548211097717285,1.0064061750253428e-09
