run,checkpoint,overall_pct,safety_critical_failures,safety_critical,honesty,diagnosis,agronomy,instruction,robustness,multiturn,systems
baseline,base-model,22.7,5,0.0,33.3,12.5,12.5,55.8,37.5,100.0,62.5
fullft-2stage,checkpoint-1020,80.2,1,78.6,100.0,59.4,68.8,96.2,68.8,100.0,100.0
fullft-2stage,checkpoint-1224,78.9,1,78.6,100.0,59.4,59.4,96.2,75.0,100.0,100.0
fullft-2stage,checkpoint-204,45.2,3,35.7,0.0,43.8,46.9,89.4,68.8,100.0,100.0
fullft-2stage,checkpoint-408,62.6,2,57.1,33.3,62.5,56.2,100.0,75.0,100.0,87.5
fullft-2stage,checkpoint-612,49.0,4,21.4,0.0,71.9,59.4,90.4,93.8,100.0,100.0
fullft-2stage,checkpoint-816,67.7,2,64.3,33.3,75.0,65.6,93.3,75.0,100.0,100.0
fullft-2stage,final,55.0,4,21.4,33.3,75.0,68.8,89.4,75.0,100.0,87.5
fullft-2stage-x,checkpoint-204,60.7,2,57.1,33.3,59.4,59.4,81.7,81.2,100.0,100.0
fullft-2stage-x,checkpoint-408,72.6,1,78.6,33.3,59.4,84.4,97.1,75.0,100.0,87.5
fullft-2stage-x,checkpoint-612,78.1,1,78.6,66.7,65.6,78.1,100.0,68.8,100.0,100.0
fullft-2stage-x,checkpoint-816,75.1,1,78.6,66.7,65.6,65.6,97.1,56.2,100.0,100.0
fullft-2stage-x,final,81.7,1,78.6,100.0,62.5,71.9,100.0,68.8,100.0,100.0
fullft-lr1e-5,checkpoint-204,55.4,2,57.1,0.0,40.6,59.4,100.0,93.8,100.0,100.0
fullft-lr1e-5,checkpoint-408,45.5,4,14.3,0.0,59.4,62.5,93.3,93.8,100.0,87.5
fullft-lr1e-5,checkpoint-612,58.5,2,57.1,0.0,62.5,65.6,92.3,81.2,100.0,100.0
fullft-lr1e-5,checkpoint-816,53.4,4,21.4,33.3,56.2,75.0,88.5,81.2,100.0,100.0
fullft-lr1e-5,final,60.3,3,42.9,33.3,71.9,71.9,82.7,68.8,100.0,100.0
fullft-lr2e-5,checkpoint-204,55.2,3,42.9,0.0,56.2,68.8,100.0,93.8,100.0,87.5
fullft-lr2e-5,checkpoint-408,63.9,1,78.6,0.0,81.2,59.4,80.8,56.2,100.0,87.5
fullft-lr2e-5,checkpoint-612,60.8,2,57.1,0.0,68.8,71.9,96.2,75.0,100.0,100.0
fullft-lr2e-5,checkpoint-816,60.1,2,57.1,0.0,68.8,75.0,90.4,68.8,100.0,87.5
fullft-lr2e-5,final,51.8,4,21.4,0.0,84.4,71.9,88.5,75.0,100.0,87.5
fullft-lr5e-6,checkpoint-204,36.7,5,0.0,0.0,40.6,53.1,97.1,87.5,100.0,75.0
fullft-lr5e-6,checkpoint-408,53.9,3,35.7,33.3,40.6,68.8,88.5,81.2,100.0,100.0
fullft-lr5e-6,checkpoint-612,59.3,2,57.1,33.3,53.1,59.4,84.6,62.5,100.0,100.0
fullft-lr5e-6,checkpoint-816,47.8,4,21.4,0.0,59.4,71.9,89.4,75.0,100.0,87.5
fullft-lr5e-6,final,58.5,2,57.1,0.0,62.5,75.0,84.6,68.8,100.0,100.0
fullft-lr5e-6-2ep,checkpoint-204,47.8,3,35.7,0.0,40.6,56.2,97.1,81.2,100.0,100.0
fullft-lr5e-6-2ep,checkpoint-408,51.7,3,35.7,33.3,40.6,56.2,87.5,87.5,100.0,87.5
fullft-lr5e-6-2ep,final,37.9,4,21.4,0.0,31.2,43.8,78.8,93.8,100.0,87.5
